0.1, 0.6, 3.3, -0.8, -2.9, -1.3, 5.5, -2.8, 4.0, 1.1, -3.0, 3.3, 2.9, -0.5, 2.1, 1.0, 0.0, -0.2
parameter ends

state | action | reward
5.332854874906292 | 2 | -0.5
6.647761120682859 | 2 | -0.5
2.0062670334545323 | 2 | -0.5
1.8556663695754116 | 0 | 5.0
1.9488771356917247 | 0 | 5.0
2.0216772251635433 | 0 | 5.0
2.0517881338823436 | 0 | 5.0
11.02540784402873 | 2 | -0.5
2.0147844186291564 | 0 | 5.0
2.0826874424658275 | 2 | -0.5
2.080665740436345 | 2 | -0.5
2.135819672044027 | 2 | -0.5
2.3720188572839507 | 2 | -0.5
2.679497371367195 | 2 | -0.5
3.3144033793506416 | 2 | -0.5
4.248267607600853 | 2 | -0.5
6.519530006761471 | 2 | -0.5
8.605159368823063 | 2 | -0.5
8.612922414570845 | 2 | -0.5
4.253520206703967 | 2 | -0.5
2.699397850341035 | 2 | -0.5
2.0764173145634524 | 2 | -0.5
1.6223535699961644 | 0 | 5.0
1.7859405436541909 | 0 | 5.0
1.9826278971835833 | 0 | 5.0
2.178928011545173 | 0 | 5.0
2.3117473584724584 | 0 | 5.0
2.5056340733616063 | 0 | 5.0
2.823351986473651 | 2 | -0.5
2.4541192392883655 | 2 | -0.5
2.210662185524968 | 2 | -0.5
2.1483857386130145 | 0 | 5.0
2.165324830393342 | 0 | 5.0
2.145416745005648 | 0 | 5.0
2.1768770427664035 | 0 | 5.0
2.2009244335683094 | 0 | 5.0
2.262804910195644 | 0 | 5.0
2.2867319585953547 | 0 | 5.0
2.296943503106807 | 0 | 5.0
2.326614525733101 | 0 | 5.0
2.3837247589246844 | 0 | 5.0
2.3528592314936043 | 0 | 5.0
2.3485206523540283 | 0 | 5.0
2.4286760037213933 | 0 | 5.0
2.425141969347533 | 0 | 5.0
2.479681047749599 | 0 | 5.0
2.526569151028418 | 0 | 5.0
2.5208612089967466 | 0 | 5.0
2.591940426282156 | 2 | -0.5
2.5254983953674977 | 0 | 5.0
2.509984285213276 | 0 | 5.0
2.476007562475357 | 0 | 5.0
2.463349295928641 | 2 | -0.5
2.5424411931538304 | 2 | -0.5
2.69515251811913 | 2 | -0.5
3.037886081799332 | 2 | -0.5
3.624362266787026 | 2 | -0.5
4.424476594008416 | 2 | -0.5
6.583390172811345 | 2 | -0.5
8.375335464811688 | 2 | -0.5
8.249795677034287 | 2 | -0.5
2.660345282857252 | 2 | -0.5
1.7124457111597429 | 2 | -0.5
1.3433991841041164 | 2 | -0.5
1.1133714681803588 | 0 | 5.0
1.2758338266230809 | 0 | 5.0
1.570987977364793 | 0 | 5.0
1.7914388779601296 | 0 | 5.0
2.0408042071599635 | 0 | 5.0
2.209165259281621 | 0 | 5.0
2.4291555391214352 | 0 | 5.0
2.6424514305473217 | 0 | 5.0
2.8028325666478247 | 2 | -0.5
2.3941008875999756 | 2 | -0.5
2.1283070156057535 | 0 | 5.0
2.2607921671403908 | 2 | -0.5
