-1.6, -4.5, 4.0, -2.8, -2.2, -2.6, -4.5, 2.3, 2.3, -1.2, 0.2, 0.0, 1.1, -0.8, -2.3, 5.8, 0.4, 2.2
parameter ends

state | action | reward
[1.85] | 2 | -0.5
1.6671668519532787 | 2 | -0.5
1.5507135235543639 | 2 | -0.5
1.5347389434018155 | 2 | -0.5
1.578796293857308 | 2 | -0.5
1.630801697710326 | 2 | -0.5
1.7864468267610842 | 2 | -0.5
2.0483711324944625 | 2 | -0.5
2.65881847244852 | 2 | -0.5
3.736723014231248 | 2 | -0.5
6.729737360827077 | 2 | -0.5
6.596468743358225 | 2 | -0.5
6.676477688321325 | 2 | -0.5
5.017883590027659 | 2 | -0.5
3.443592018413212 | 2 | -0.5
2.721686523799443 | 2 | -0.5
2.23724276584081 | 2 | -0.5
2.085498850423911 | 2 | -0.5
1.9385003315923 | 2 | -0.5
1.9800371439660915 | 2 | -0.5
2.0117753234060833 | 2 | -0.5
2.157048128869924 | 2 | -0.5
2.4462463545916315 | 2 | -0.5
3.019846235281437 | 2 | -0.5
4.226735352595138 | 2 | -0.5
5.469069708929755 | 2 | -0.5
5.340281641218856 | 2 | -0.5
5.355713210760813 | 2 | -0.5
5.555161359755512 | 2 | -0.5
6.1436322127617995 | 2 | -0.5
2.2119671007476374 | 2 | -0.5
1.9976328362398073 | 2 | -0.5
1.7399151409351057 | 2 | -0.5
1.6499503142345535 | 2 | -0.5
1.5167509559811996 | 2 | -0.5
1.4836697784931985 | 2 | -0.5
1.6010751108800696 | 2 | -0.5
1.7005962604433957 | 2 | -0.5
1.8582480521298685 | 2 | -0.5
2.2398453328194083 | 2 | -0.5
2.815599375799807 | 2 | -0.5
6.956978815051394 | 2 | -0.5
6.632975604050879 | 2 | -0.5
6.585626266421321 | 2 | -0.5
6.1131591514329315 | 2 | -0.5
3.5744262705826544 | 2 | -0.5
2.7455448412650743 | 2 | -0.5
2.2341877995758987 | 2 | -0.5
2.0494881287389304 | 2 | -0.5
1.9306882788371902 | 2 | -0.5
1.8460986604936764 | 2 | -0.5
1.856475379310632 | 2 | -0.5
1.9173979576637932 | 2 | -0.5
2.1050897249544795 | 2 | -0.5
2.381809819382362 | 2 | -0.5
2.709981086756894 | 2 | -0.5
3.7370959515268796 | 2 | -0.5
5.682212765619435 | 2 | -0.5
5.386382902008418 | 2 | -0.5
