-2.4, 1.2, -2.1, 0.6, -2.2, 5.3, 4.7, -1.2, -0.1, -4.2, -4.3, 2.1, -4.5, -1.7, 6.0, -2.9, 1.5, -1.2
parameter ends

state | action | reward
[2.3] | 2 | -0.5
2.879188879660033 | 2 | -0.5
4.5533378110007785 | 2 | -0.5
8.786228873541999 | 2 | -0.5
8.862426284370278 | 2 | -0.5
5.065017061026372 | 2 | -0.5
3.4279725322491386 | 2 | -0.5
2.724181688926794 | 2 | -0.5
2.3067152002696796 | 2 | -0.5
2.089150484103793 | 2 | -0.5
1.983251767553416 | 2 | -0.5
1.940470520830971 | 2 | -0.5
1.979715997327904 | 0 | 5.0
1.9261105365146205 | 0 | 5.0
1.8861868604202887 | 0 | 5.0
1.860449761260478 | 0 | 5.0
1.8384815092081954 | 2 | -0.5
1.911540127263648 | 2 | -0.5
2.037620910591298 | 2 | -0.5
2.328309472736359 | 2 | -0.5
2.981305270202091 | 2 | -0.5
4.187787623178192 | 2 | -0.5
4.029764524138094 | 2 | -0.5
3.9598381674167134 | 2 | -0.5
3.991433167592768 | 2 | -0.5
4.1842622506913445 | 2 | -0.5
4.577707354847343 | 2 | -0.5
5.171381723303624 | 2 | -0.5
6.075537811980097 | 2 | -0.5
7.884803289224971 | 2 | -0.5
1.684097018327545 | 2 | -0.5
1.6856544176963886 | 2 | -0.5
1.6562069362669878 | 2 | -0.5
1.7281338266406334 | 2 | -0.5
1.845009832760616 | 2 | -0.5
2.1372039515931447 | 2 | -0.5
2.7088319546239994 | 2 | -0.5
3.5406473798282634 | 2 | -0.5
6.866568365802892 | 2 | -0.5
8.037598434824096 | 2 | -0.5
8.122609891033015 | 2 | -0.5
4.967483996740478 | 2 | -0.5
3.3354799884579154 | 2 | -0.5
2.5754664583538505 | 2 | -0.5
2.1269689477186 | 2 | -0.5
1.942205094394849 | 2 | -0.5
1.8328084088952215 | 2 | -0.5
1.7879521198406751 | 0 | 5.0
1.8034592450820452 | 2 | -0.5
1.8080084123951226 | 2 | -0.5
1.936379232693193 | 2 | -0.5
2.009424875618514 | 2 | -0.5
2.3251375971892685 | 2 | -0.5
2.941352534470777 | 2 | -0.5
3.9525981740151366 | 2 | -0.5
4.189436903520254 | 2 | -0.5
4.087950927609743 | 2 | -0.5
4.070517187095329 | 2 | -0.5
4.26771934849964 | 2 | -0.5
4.6823522334537975 | 2 | -0.5
5.2360231493641045 | 2 | -0.5
6.3554278341998245 | 2 | -0.5
1.7716315279907766 | 2 | -0.5
1.6520287001843574 | 2 | -0.5
1.6102570296242846 | 2 | -0.5
